live_version,live_name,evidence,class,repository_candidates
20260531101429,fix_onboarding_and_seed_partners,LP,B,
20260531102941,new_user_make_webhook_trigger,LP,B,
20260531120220,partner_approval_make_webhook,LP,B,
20260531125236,fix_rls_backfill_and_saves_rls,LP,B,
20260531204554,add_stripe_fields_to_profiles,LP,B,
20260601101625,add_partner_image_url,LP,B,
20260601111052,add_partner_price_and_gallery,LP,B,
20260601113530,allow_public_approved_partners,LP,B,
20260601113902,add_profile_reset_and_deletion_requests,LP,B,
20260602090111,create_discount_interest_requests,LP,B,
20260602094118,add_discount_contact_and_inbox,LP,B,
20260602213920,analytics_triggers_for_partner_counters,LP,D,
20260602220224,analytics_triggers_for_partner_counters,LP,D,
20260614102924,add_supporter_payments_subscriptions_vibe_settings,LP,A,docs/migration-lineage/historical-sql/20260614102924_add_supporter_payments_subscriptions_vibe_settings.sql
20260618173746,admin_pm_dashboard_foundation_v2,LP,B,
20260618174049,nina_community_events_tables,LP,N,supabase/migrations/20260618000100_nina_community_events_tables.sql
20260619004758,nina_admin_dashboard_review_fixes,LP,C,supabase/migrations/20260618000200_admin_review_fixes_summary.sql
20260626022424,restrict_approve_partner_revoke_anon_public,LP,C,supabase/migrations/20260626120000_harden_approve_partner_admin_only.sql
20260626164858,revoke_anon_public_execute_approve_partner,LP,C,supabase/migrations/20260626120000_harden_approve_partner_admin_only.sql
20260626185513,harden_approve_partner_admin_only,LP,N,supabase/migrations/20260626120000_harden_approve_partner_admin_only.sql
20260705211410,scout_partner_pipeline_schema,LP,C,supabase/migrations/20260705000100_create_scout_leads.sql;supabase/migrations/20260705000200_create_scout_contacts.sql
20260705211427,scout_touch_function,LP,C,supabase/migrations/20260705000100_create_scout_leads.sql;supabase/migrations/20260705000200_create_scout_contacts.sql
20260705211435,scout_touch_triggers,LP,C,supabase/migrations/20260705000100_create_scout_leads.sql;supabase/migrations/20260705000200_create_scout_contacts.sql
20260705211513,scout_sync_partner_artifacts,LP,C,supabase/migrations/20260705000500_scout_partner_artifacts.sql
20260705211545,scout_event_sync_function,LP,C,supabase/migrations/20260705000400_scout_event_artifacts.sql
20260705211631,ensure_scout_event_artifact,LP,C,supabase/migrations/20260705000400_scout_event_artifacts.sql
20260705211756,route_scout_event_and_partner_artifacts,LP,C,supabase/migrations/20260705000400_scout_event_artifacts.sql;supabase/migrations/20260705000500_scout_partner_artifacts.sql
20260705211811,scout_followup_task_role_policies,LP,C,supabase/migrations/20260705000300_scout_lead_policies.sql;supabase/migrations/20260705000310_scout_contact_policies.sql;supabase/migrations/20260705000320_scout_task_permissions.sql
20260705213831,som_scout_partner_readiness_access,LP,C,supabase/migrations/20260705000500_scout_partner_artifacts.sql;supabase/migrations/20260705000320_scout_task_permissions.sql
20260705215112,scout_add_neighborhood,LP,C,supabase/migrations/20260705000100_create_scout_leads.sql
20260705215134,scout_add_tagline,LP,C,supabase/migrations/20260705000100_create_scout_leads.sql
20260705215144,scout_add_bio,LP,C,supabase/migrations/20260705000100_create_scout_leads.sql
20260705215211,scout_add_hours,LP,C,supabase/migrations/20260705000100_create_scout_leads.sql
20260705215231,scout_add_offerings_notes,LP,C,supabase/migrations/20260705000100_create_scout_leads.sql
20260705215240,scout_add_featured_items_notes,LP,C,supabase/migrations/20260705000100_create_scout_leads.sql
20260705215248,scout_add_card_emoji,LP,C,supabase/migrations/20260705000100_create_scout_leads.sql;supabase/migrations/20260705000700_scout_swipe_card_sync.sql
20260705215256,scout_add_card_color,LP,C,supabase/migrations/20260705000100_create_scout_leads.sql;supabase/migrations/20260705000700_scout_swipe_card_sync.sql
20260705215336,scout_card_sync_function,LP,C,supabase/migrations/20260705000700_scout_swipe_card_sync.sql
20260705215345,scout_card_sync_trigger,LP,C,supabase/migrations/20260705000700_scout_swipe_card_sync.sql
20260705215917,attach_scout_followup_task,LP,C,supabase/migrations/20260705000600_scout_pm_tasks.sql;supabase/migrations/20260705000600_scout_task_routing.sql
20260705221255,scout_pm_task_wrapper,LP,C,supabase/migrations/20260705000600_scout_pm_tasks.sql;supabase/migrations/20260705000600_scout_task_routing.sql
20260705221322,scout_pm_task_insert_trigger,LP,C,supabase/migrations/20260705000600_scout_pm_tasks.sql;supabase/migrations/20260705000600_scout_task_routing.sql
20260705221632,scout_trigger_cleanup_1,LP,C,supabase/migrations/20260705000600_scout_pm_tasks.sql;supabase/migrations/20260705000600_scout_task_routing.sql;supabase/migrations/20260705000700_scout_swipe_card_sync.sql
20260705221642,scout_trigger_cleanup_2,LP,C,supabase/migrations/20260705000600_scout_pm_tasks.sql;supabase/migrations/20260705000600_scout_task_routing.sql;supabase/migrations/20260705000700_scout_swipe_card_sync.sql
20260705221704,scout_function_cleanup_1,LP,C,supabase/migrations/20260705000400_scout_event_artifacts.sql;supabase/migrations/20260705000500_scout_partner_artifacts.sql;supabase/migrations/20260705000600_scout_pm_tasks.sql
20260705221720,scout_function_cleanup_2,LP,C,supabase/migrations/20260705000400_scout_event_artifacts.sql;supabase/migrations/20260705000500_scout_partner_artifacts.sql;supabase/migrations/20260705000600_scout_pm_tasks.sql
20260705221801,remove_unused_scout_event_function,LP,C,supabase/migrations/20260705000400_scout_event_artifacts.sql
20260705221812,scout_touch_search_path,LP,C,supabase/migrations/20260705000100_create_scout_leads.sql;supabase/migrations/20260705000200_create_scout_contacts.sql
20260705221824,scout_card_sync_search_path,LP,C,supabase/migrations/20260705000700_scout_swipe_card_sync.sql
20260705221833,restrict_scout_event_function,LP,C,supabase/migrations/20260705000400_scout_event_artifacts.sql
20260705221850,restrict_scout_partner_sync,LP,C,supabase/migrations/20260705000500_scout_partner_artifacts.sql
20260705221916,scout_task_insert_test_fn,LP,C,supabase/migrations/20260705000600_scout_pm_tasks.sql;supabase/migrations/20260705000600_scout_task_routing.sql
20260705221955,ensure_scout_pm_task_sql,LP,C,supabase/migrations/20260705000600_scout_pm_tasks.sql
20260705222029,create_scout_pm_task_wrapper_v2,LP,C,supabase/migrations/20260705000600_scout_pm_tasks.sql
20260705222036,cleanup_scout_test_function,LP,C,supabase/migrations/20260705000600_scout_pm_tasks.sql;supabase/migrations/20260705000600_scout_task_routing.sql
20260705222046,drop_old_scout_pm_task_trigger,LP,C,supabase/migrations/20260705000600_scout_pm_tasks.sql;supabase/migrations/20260705000600_scout_task_routing.sql
20260705222058,create_scout_pm_task_trigger,LP,C,supabase/migrations/20260705000600_scout_pm_tasks.sql
20260705222149,scout_pm_task_search_path,LP,C,supabase/migrations/20260705000600_scout_pm_tasks.sql
20260705222158,scout_pm_wrapper_search_path,LP,C,supabase/migrations/20260705000600_scout_pm_tasks.sql
20260705222456,cleanup_test_scout_rows_fn,LP,C,supabase/migrations/20260705000600_scout_pm_tasks.sql
20260705222523,cleanup_test_readiness_fn,LP,C,supabase/migrations/20260705000600_scout_pm_tasks.sql
20260705222541,cleanup_test_hubspot_fn,LP,C,supabase/migrations/20260705000900_hubspot_sync_queue_worker.sql;supabase/migrations/20260705001000_harden_hubspot_sync_release_gate.sql
20260705222826,delete_event_application_by_id_fn,LP,C,supabase/migrations/20260705000400_scout_event_artifacts.sql
20260705222850,delete_partner_by_id_fn,LP,C,supabase/migrations/20260705000500_scout_partner_artifacts.sql
20260705223057,drop_cleanup_test_scout_rows,LP,C,supabase/migrations/20260705000600_scout_pm_tasks.sql
20260705223127,revoke_temp_cleanup_helpers,LP,C,supabase/migrations/20260705000600_scout_pm_tasks.sql;supabase/migrations/20260705000900_hubspot_sync_queue_worker.sql
20260705225323,hubspot_sync_queue_worker,LP,N,supabase/migrations/20260705000900_hubspot_sync_queue_worker.sql
20260705231603,admin_hubspot_sync_queue_view,LP,N,supabase/migrations/20260705000900_admin_hubspot_sync_queue_view.sql
20260705232130,harden_hubspot_sync_queue_release,LP,C,supabase/migrations/20260705001000_harden_hubspot_sync_release_gate.sql
20260705232212,extend_hubspot_sync_queue_view_release_metadata_v2,LP,C,supabase/migrations/20260705001000_harden_hubspot_sync_release_gate.sql;supabase/migrations/20260705000900_admin_hubspot_sync_queue_view.sql
20260706002658,canonical_partner_routing,LP,N,supabase/migrations/20260705001100_canonical_partner_routing.sql
20260706002802,partner_routing_review_rpc,LP,N,supabase/migrations/20260705001200_partner_routing_review_rpc.sql
20260706004220,public_partner_routing_views_select_only,LP,C,supabase/migrations/20260705001300_public_routing_views_select_only.sql
20260706062250,restrict_primary_ecosystem_cta_destinations,LP,C,supabase/migrations/20260705001400_primary_ecosystem_cta_only.sql
20260706062924,partner_test_record_boundary,LP,N,supabase/migrations/20260705001500_partner_test_record_boundary.sql
20260706063040,partner_pillar_suggestions,LP,N,supabase/migrations/20260705001600_partner_pillar_suggestions.sql
20260706063210,sync_scout_pillar_to_partner,LP,N,supabase/migrations/20260705001700_sync_scout_pillar_to_partner.sql
20260706074234,make_platform_visibility_reflect_actual_surface_state,LP,C,supabase/migrations/20260705001400_platform_visibility_actual_surface_state.sql
20260706100710,partner_owner_self_service_security,LP,N,supabase/migrations/20260706093000_partner_owner_self_service_security.sql
20260706115730,partner_profile_change_requests,LP,N,supabase/migrations/20260706122000_partner_profile_change_requests.sql
20260706153232,partner_media_manager,LP,N,supabase/migrations/20260706143000_partner_media_manager.sql
20260706154713,partner_community_offers,LP,N,supabase/migrations/20260706160000_partner_community_offers.sql
20260706165403,community_offer_redemption_tables,LP,C,supabase/migrations/20260706160000_partner_community_offers.sql
20260706165528,community_offer_public_sync,LP,C,supabase/migrations/20260706160000_partner_community_offers.sql
20260706165649,issue_community_offer_redemption_rpc,LP,C,supabase/migrations/20260706160000_partner_community_offers.sql
20260706165749,confirm_community_offer_code_rpc,LP,C,supabase/migrations/20260706160000_partner_community_offers.sql
20260706165857,confirm_community_offer_outcome_rpc,LP,C,supabase/migrations/20260706160000_partner_community_offers.sql
20260706165958,community_offer_first_time_guard,LP,C,supabase/migrations/20260706160000_partner_community_offers.sql
20260707092855,partner_security_foundation,LP,N,supabase/migrations/20260707045848_partner_security_foundation.sql
20260709224654,partner_registration_saved_inbox_handoff,LP,B,
20260710030425,supporter_entitlement_security,LP,N,supabase/migrations/20260707062836_supporter_entitlement_security.sql
20260710030952,fix_profile_entitlement_guard_current_user,LP,N,supabase/migrations/20260710013500_fix_profile_entitlement_guard_current_user.sql
20260720132527,partner_multi_categories,LP,N,supabase/migrations/20260720093000_partner_multi_categories.sql
20260720132617,partner_multi_categories_view_security_invoker,LP,N,supabase/migrations/20260720093100_partner_multi_categories_view_security_invoker.sql
20260805123842,sec002_revoke_public_execute_on_trigger_functions,LP,B,
20260812220624,update_founding_neighbor_pass_preferences,LP,B,
