repository_path,class,live_candidates,sha256
supabase/migrations/20260618000100_nina_community_events_tables.sql,BC,20260618174049:nina_community_events_tables,01a2ce1c173444b4b8310720d10d7861998de3e558ea696b65ef0c905ebe90a0
supabase/migrations/20260618000200_admin_review_fixes_summary.sql,AN,20260619004758:nina_admin_dashboard_review_fixes,47a67e3b7a6926c5f65019b872cfd69b90b29018576380aa3a0350b0515454ce
supabase/migrations/20260626120000_harden_approve_partner_admin_only.sql,BS,20260626022424:restrict_approve_partner_revoke_anon_public;20260626164858:revoke_anon_public_execute_approve_partner;20260626185513:harden_approve_partner_admin_only,8891b6214f81507b75ac1d6c7bd8e00e753fd3626254414d787c528c90d1ac2e
supabase/migrations/20260626120000_harden_approve_partner_admin_only.rollback.sql,AR,,16e6cfbb999fa0184d8ab4919dca2f759676cbc9ff4e0dfd7ec873cefd6681e2
supabase/migrations/20260705000100_create_scout_leads.sql,BC,20260705211410:scout_partner_pipeline_schema;20260705211427:scout_touch_function;20260705211435:scout_touch_triggers;20260705215112:scout_add_neighborhood;20260705215134:scout_add_tagline;20260705215144:scout_add_bio;20260705215211:scout_add_hours;20260705215231:scout_add_offerings_notes;20260705215240:scout_add_featured_items_notes;20260705215248:scout_add_card_emoji;20260705215256:scout_add_card_color;20260705221812:scout_touch_search_path,bb8f27972edebb14504ad51347fdcb886549d2bb4421b9ce5943b314d69b940d
supabase/migrations/20260705000200_create_scout_contacts.sql,BC,20260705211410:scout_partner_pipeline_schema;20260705211427:scout_touch_function;20260705211435:scout_touch_triggers;20260705221812:scout_touch_search_path,1c98c870b1d73ee4e3c8849f428154ce99908d68cb837f45f48090f89f7bd8f1
supabase/migrations/20260705000300_scout_lead_policies.sql,BC,20260705211811:scout_followup_task_role_policies,d2a34e926d942ffcbd390319a434e0c86bffb0335c82ea00e1b9171554e275a6
supabase/migrations/20260705000310_scout_contact_policies.sql,BC,20260705211811:scout_followup_task_role_policies,4db03b81e805e940955a6219a345f2319a3d167528f9ad04f4703cb7888a5d03
supabase/migrations/20260705000320_scout_task_permissions.sql,BC,20260705211811:scout_followup_task_role_policies;20260705213831:som_scout_partner_readiness_access,b028f42f38525ce2e4fd6fbbd31783b916496e36433c60def57b7ff307be0ae9
supabase/migrations/20260705000400_scout_event_artifacts.sql,BC,20260705211545:scout_event_sync_function;20260705211631:ensure_scout_event_artifact;20260705211756:route_scout_event_and_partner_artifacts;20260705221704:scout_function_cleanup_1;20260705221720:scout_function_cleanup_2;20260705221801:remove_unused_scout_event_function;20260705221833:restrict_scout_event_function;20260705222826:delete_event_application_by_id_fn,71a861c9a965d3e615ac457773f5c868d35ca6661798d8819e268311603e17e9
supabase/migrations/20260705000500_scout_partner_artifacts.sql,BC,20260705211513:scout_sync_partner_artifacts;20260705211756:route_scout_event_and_partner_artifacts;20260705213831:som_scout_partner_readiness_access;20260705221704:scout_function_cleanup_1;20260705221720:scout_function_cleanup_2;20260705221850:restrict_scout_partner_sync;20260705222850:delete_partner_by_id_fn,0dd5f92da3f8b5e970fb68ab43b7c488b290ad8390646574e9fa978576f49836
